Solution,Round,Image Quality,Gender Fitness,Ethnicity Fitness,Duration,CPU Energy,GPU Energy
"{'denoising_steps': 43, 'guidance_scale': 8, 'positive_prompt': [1718, 1658, 115], 'negative_prompt': [7838, 915, 48], 'weight': 7, 'seed': 64}",round_4,0.7054545454545454, 0.30000000000000004, 0.4782608695652174,19.0402250289917,0.0001139456886564,0.0007057180645744
"{'denoising_steps': 33, 'guidance_scale': 10, 'positive_prompt': [596, 580, 254], 'negative_prompt': [13329, 799, 153], 'weight': 10, 'seed': 64}.1",round_4,0.67375, 0.19999999999999996, 0.39999999999999997,24.27248501777649,0.0001454216835594,0.0009057204467977
"{'denoising_steps': 33, 'guidance_scale': 10, 'positive_prompt': [596, 580, 254], 'negative_prompt': [129, 770, 35], 'weight': 10, 'seed': 64}",round_4,0.6449999999999999, 0.10000000000000003, 0.391304347826087,24.26499843597412,0.0001452128586701,0.0009078607262882
"{'denoising_steps': 39, 'guidance_scale': 4, 'positive_prompt': [1016, 1516, 63], 'negative_prompt': [13663, 144, 237], 'weight': 4, 'seed': 62}",round_4,0.6378787878787879, 0.0, 1.2,24.27431344985962,0.0001458167497088,0.0009022393329023
"{'denoising_steps': 47, 'guidance_scale': 7, 'positive_prompt': [1362, 1516, 148], 'negative_prompt': [4746, 44, 249], 'weight': 6, 'seed': 173}",round_4,0.6254285714285713, 0.8999999999999999, 0.25,24.270501136779785,0.0001460323562702,0.0009072357257879
"{'denoising_steps': 33, 'guidance_scale': 10, 'positive_prompt': [596, 580, 254], 'negative_prompt': [129, 770, 35], 'weight': 10, 'seed': 64}.1",round_4,0.6241935483870967, 0.0, 0.6000000000000001,24.266008377075195,0.0001456627720856,0.0009065143363216
"{'denoising_steps': 30, 'guidance_scale': 1, 'positive_prompt': [1109, 995, 50], 'negative_prompt': [14130, 434, 41], 'weight': 6, 'seed': 470}",round_4,0.5299999999999999, 0.0, 0.5,24.27248501777649,0.0001454216835594,0.0009057204467977
"{'denoising_steps': 37, 'guidance_scale': 7, 'positive_prompt': [917, 1549, 151], 'negative_prompt': [958, 929, 211], 'weight': 10, 'seed': 469}",round_6,0.7923809523809526, 0.39999999999999997, 0.5,24.279584884643555,0.0001454308555112,0.0009086290602362
"{'denoising_steps': 48, 'guidance_scale': 3, 'positive_prompt': [341, 539, 3], 'negative_prompt': [8036, 489, 236], 'weight': 8, 'seed': 321}",round_6,0.7383333333333333, 0.30000000000000004, 0.9,24.270501136779785,0.0001460323562702,0.0009072357257879
"{'denoising_steps': 36, 'guidance_scale': 5, 'positive_prompt': [598, 1899, 70], 'negative_prompt': [6978, 802, 124], 'weight': 6, 'seed': 234}",round_6,0.7358333333333332, 0.19999999999999996, 0.8999999999999999,24.270501136779785,0.0001460323562702,0.0009072357257879
"{'denoising_steps': 35, 'guidance_scale': 6, 'positive_prompt': [598, 1899, 70], 'negative_prompt': [6978, 802, 124], 'weight': 4, 'seed': 335}",round_6,0.7238461538461537, 0.19999999999999996, 0.6000000000000001,24.26880669593811,0.0001458163599863,0.0009058429468957
"{'denoising_steps': 33, 'guidance_scale': 8, 'positive_prompt': [1680, 197, 147], 'negative_prompt': [10772, 742, 244], 'weight': 10, 'seed': 321}",round_6,0.7143478260869565, 0.7, 0.39999999999999997,17.773778676986694,0.0001067777659777,0.0006567377476121
"{'denoising_steps': 30, 'guidance_scale': 6, 'positive_prompt': [598, 1899, 70], 'negative_prompt': [6978, 802, 124], 'weight': 4, 'seed': 335}",round_6,0.6848000000000001, 0.0, 0.5,17.77557611465454,0.0001066113608445,0.0006603174726973
"{'denoising_steps': 30, 'guidance_scale': 6, 'positive_prompt': [598, 1899, 70], 'negative_prompt': [6978, 802, 124], 'weight': 4, 'seed': 166}",round_6,0.6637931034482757, 0.0, 0.41304347826086957,17.772350788116455,0.0001072011968719,0.0006568683032717
"{'denoising_steps': 35, 'guidance_scale': 7, 'positive_prompt': [598, 1899, 70], 'negative_prompt': [6978, 802, 124], 'weight': 4, 'seed': 234}",round_6,0.6636666666666665, 0.19999999999999996, 0.3913043478260869,17.775535821914673,0.0001070503214735,0.0006608677509158
"{'denoising_steps': 38, 'guidance_scale': 12, 'positive_prompt': [1415, 202, 216], 'negative_prompt': [16145, 332, 187], 'weight': 10, 'seed': 212}",round_6,0.642, 0.5, 0.3,17.76383376121521,0.0001062860100287,0.0006584296934102
