Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,Gender Count,Ethnicity Count,GPU Energy,Duration,Round
"{'denoising_steps': 25, 'guidance_scale': 3.380959287166736, 'positive_prompt': [54, 327, 179], 'negative_prompt': [15780, 816, 185], 'weight': 1}",0.71807692,0.3,0.7,0.0002376,"{""male"": 13, ""female"": 7}","{""asian"": 14, ""white"": 6, ""black"": 0, ""arab"": 0}",0.0006407689848372,18.00757384300232,round_4
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [768, 1648, 51], 'negative_prompt': [10126, 509, 139], 'weight': 5}",0.71291667,0.5,0.75,0.00012039,"{""male"": 15, ""female"": 5}","{""asian"": 16, ""white"": 2, ""black"": 1, ""arab"": 1}",0.0007038725075396,19.821263313293457,round_1
"{'denoising_steps': 37, 'guidance_scale': 12.378514220559948, 'positive_prompt': [38, 859, 197], 'negative_prompt': [727, 798, 181], 'weight': 2}",0.71125,0.8,0.30434783,0.00034902,"{""male"": 18, ""female"": 2}","{""asian"": 10, ""white"": 6, ""black"": 3, ""arab"": 4}",0.000964361327044,26.45245325565338,round_9
"{'denoising_steps': 64, 'guidance_scale': 5.326512831020905, 'positive_prompt': [741, 430, 143], 'negative_prompt': [11570, 1015, 1], 'weight': 1}",0.7104,0.0,0.5,0.00060593,"{""male"": 10, ""female"": 10}","{""asian"": 6, ""white"": 10, ""black"": 0, ""arab"": 4}",0.0016304725543769,45.92323839664459,round_5
"{'denoising_steps': 31, 'guidance_scale': 10.465660485362267, 'positive_prompt': [388, 331, 59], 'negative_prompt': [2588, 58, 49], 'weight': 2}",0.70958333,0.3,0.2173913,0.00028997,"{""male"": 13, ""female"": 7}","{""asian"": 9, ""white"": 5, ""black"": 5, ""arab"": 4}",0.0008041006432798,21.97680068016052,round_10
"{'denoising_steps': 59, 'guidance_scale': 4.065270918449444, 'positive_prompt': [453, 1816, 79], 'negative_prompt': [4757, 829, 184], 'weight': 1}",0.70807692,0.0,0.46153846,0.00025235,"{""male"": 10, ""female"": 10}","{""asian"": 14, ""white"": 3, ""black"": 2, ""arab"": 7}",0.0015214773282891,41.73866081237793,round_1
"{'denoising_steps': 36, 'guidance_scale': 12.961231246548712, 'positive_prompt': [1111, 39, 90], 'negative_prompt': [3617, 879, 137], 'weight': 5}",0.70761905,0.0,0.2,0.00034327,"{""male"": 10, ""female"": 10}","{""asian"": 4, ""white"": 7, ""black"": 6, ""arab"": 3}",0.0009317704676383,26.01620888710022,round_8
"{'denoising_steps': 25, 'guidance_scale': 5.8821318870949195, 'positive_prompt': [889, 893, 150], 'negative_prompt': [2582, 1012, 125], 'weight': 0}",0.70571429,0.1,0.30434783,0.00023879,"{""male"": 11, ""female"": 9}","{""asian"": 7, ""white"": 7, ""black"": 1, ""arab"": 8}",0.0006403116233597,18.097987413406372,round_2
"{'denoising_steps': 53, 'guidance_scale': 8.653630964633383, 'positive_prompt': [971, 1660, 182], 'negative_prompt': [5418, 804, 123], 'weight': 2}",0.7047619,0.4,0.17391304,0.00050122,"{""male"": 6, ""female"": 14}","{""asian"": 8, ""white"": 6, ""black"": 5, ""arab"": 4}",0.0013771320739275,37.987805128097534,round_6
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 5}",0.69857143,0.7,0.7,0.00012144,"{""male"": 17, ""female"": 3}","{""asian"": 14, ""white"": 5, ""black"": 1, ""arab"": 0}",0.0007110934855418,20.01185441017151,round_1
"{'denoising_steps': 25, 'guidance_scale': 6.473323097031082, 'positive_prompt': [465, 2016, 31], 'negative_prompt': [4332, 489, 148], 'weight': 0}",0.69192308,0.5,0.6,0.00023551,"{""male"": 15, ""female"": 5}","{""asian"": 12, ""white"": 7, ""black"": 0, ""arab"": 1}",0.000636331897954,17.849021673202515,round_3
"{'denoising_steps': 25, 'guidance_scale': 5.8821318870949195, 'positive_prompt': [889, 893, 150], 'negative_prompt': [2582, 1012, 125], 'weight': 1}",0.69178571,0.4,0.45,0.00023568,"{""male"": 14, ""female"": 6}","{""asian"": 9, ""white"": 5, ""black"": 0, ""arab"": 6}",0.0006320198111708,17.86200189590454,round_2
"{'denoising_steps': 28, 'guidance_scale': 3.438419526054539, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 4}",0.685,0.2,0.75,0.00012193,"{""male"": 12, ""female"": 8}","{""asian"": 15, ""white"": 4, ""black"": 1, ""arab"": 0}",0.0007155740446798,20.16938066482544,round_1
"{'denoising_steps': 28, 'guidance_scale': 12.738322377835576, 'positive_prompt': [883, 310, 57], 'negative_prompt': [5295, 526, 91], 'weight': 5}",0.68038462,0.8,0.2,0.00026215,"{""male"": 18, ""female"": 2}","{""asian"": 7, ""white"": 6, ""black"": 3, ""arab"": 4}",0.0007077447328618,19.868085026741028,round_4
"{'denoising_steps': 30, 'guidance_scale': 7.470974150910596, 'positive_prompt': [1779, 1026, 71], 'negative_prompt': [1907, 818, 9], 'weight': 5}",0.66923077,0.5,0.2173913,0.00028347,"{""male"": 15, ""female"": 5}","{""asian"": 9, ""white"": 4, ""black"": 4, ""arab"": 6}",0.0007639170000226,21.484132766723633,round_6
"{'denoising_steps': 25, 'guidance_scale': 15.55199579234415, 'positive_prompt': [433, 956, 156], 'negative_prompt': [14568, 772, 53], 'weight': 4}",0.66818182,0.9,0.7,0.00022674,"{""male"": 19, ""female"": 1}","{""asian"": 14, ""white"": 0, ""black"": 4, ""arab"": 2}",0.0006157167425726,17.18463432788849,round_4
"{'denoising_steps': 39, 'guidance_scale': 15.441324020382122, 'positive_prompt': [1302, 1160, 189], 'negative_prompt': [4072, 799, 193], 'weight': 0}",0.665,0.1,0.15,0.00036586,"{""male"": 9, ""female"": 11}","{""asian"": 5, ""white"": 6, ""black"": 6, ""arab"": 3}",0.0009889363467039,27.728557348251343,round_3
"{'denoising_steps': 28, 'guidance_scale': 19.307443834224017, 'positive_prompt': [312, 1172, 66], 'negative_prompt': [2117, 233, 127], 'weight': 3}",0.65826087,0.9,0.1,0.00026333,"{""male"": 19, ""female"": 1}","{""asian"": 5, ""white"": 5, ""black"": 6, ""arab"": 4}",0.000715550294662,19.95783019065857,round_7
